Année,Numéro,Département,Code INSEE,Nom de la commune,Date de première alerte,Surface parcourue (m2),Surface forêt (m2),Surface maquis garrigues (m2),Autres surfaces naturelles hors forêt (m2),Surfaces agricoles (m2),Autres surfaces (m2),Surface autres terres boisées (m2),Surfaces non boisées naturelles (m2),Surfaces non boisées artificialisées (m2),Surfaces non boisées (m2),Précision des surfaces,Type de peuplement,Décès ou bâtiments touchés,Nombre de décès,Nombre de bâtiments totalement détruits,Nombre de bâtiments partiellement détruits,Précision de la donnée,Nature,Malveillant
2024,20145,13,13038,Fontvieille,2024-06-16 16:55:00,20,20.0,0.0,0.0,0.0,0.0,,,,,Estimées,1.0,Non,,,,,Involontaire (particulier),0
2023,9664,2B,2B046,Cagnano,2023-01-01 10:05:00,100,0.0,100.0,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Malveillance,1
2024,22346,11,11251,Val-de-Dagne,2024-08-10 17:22:00,150,0.0,150.0,0.0,0.0,0.0,,,,,Mesurées,,Non,,,,,Malveillance,1
2023,14848,27,27229,Évreux,2023-06-14 20:10:00,15000,15000.0,,0.0,0.0,0.0,,,,,Estimées,,Non,,,,Données partielles ou non valides,Accidentelle,0
2024,22570,2B,2B007,Albertacce,2024-09-01 16:00:00,1600,0.0,1600.0,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Naturelle,0
2024,22866,13,13015,Bouc-Bel-Air,2024-08-03 15:10:00,60,60.0,0.0,0.0,0.0,0.0,,,,,Mesurées,1.0,Non,,,,,Malveillance,1
2023,7041,4,4217,Thoard,2023-08-08 17:34:00,20,20.0,0.0,0.0,0.0,0.0,,,,,Mesurées,,Non,,,,,Malveillance,1
2023,3727,11,11145,Fleury,2023-02-25 16:24:00,6200,200.0,6000.0,0.0,0.0,0.0,,,,,Mesurées,,Non,,,,,Accidentelle,0
2023,17719,12,12242,Saint-Rémy,2023-09-01 22:24:00,100,100.0,,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Accidentelle,0
2023,20298,23,23214,Saint-Martial-le-Mont,2023-02-21 13:52:00,2000,2000.0,,0.0,0.0,0.0,,,,,Estimées,,Non,0.0,0.0,0.0,,Involontaire (particulier),0
2022,258,15,15196,Saint-Mamet-la-Salvetat,2022-04-12 15:43:00,120,0.0,,120.0,,,120.0,0.0,0.0,0.0,Mesurées,,,,,,,Involontaire (particulier),0
2022,11266,64,64123,Bidache,2022-08-19 19:39:59,50,5.0,,45.0,,,,,,,Estimées,,Non,,,,,Involontaire (particulier),0
2022,7142,61,61276,Merri,2022-08-24 12:06:36,3000,0.0,,3000.0,,,3000.0,0.0,,,,,,,,,Données partielles ou non valides,Malveillance,1
2022,21374,7,7315,La Souche,2022-01-16 16:34:00,50000,,50000.0,,,,,,,,,1.0,,,,,,Involontaire (particulier),0
2023,22120,24,24205,Grignols,2023-09-05 15:57:00,100000,100000.0,,0.0,0.0,0.0,,,,,Estimées,,Non,,,,,Involontaire (travaux),0
2022,20668,66,66153,Prunet-et-Belpuig,2022-11-22 17:13:00,50,50.0,,,,,,,,,,3.0,,,,,,Involontaire (particulier),0
